Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
2008.312,True,True,True,456949,,Islamic Art,2008,Painting,Great Indian Fruit Bat,,,,,,13444,Artist,Painting attributed to,Bhawani Das,Indian,or a follower,Bhawani Das,Indian,          ,          ,,(not assigned),https://www.wikidata.org/wiki/Q32786180,ca. 1777–82,1752,1807,"Pencil, ink, and opaque watercolor on paper","Painting: H. 23 1/2 in. (59.7 cm)
                 W. 32 3/4 in. (83.2 cm)
Mat size: H. 27 1/4 in. (69.2 cm)
                 W. 35 1/2 in. (90.2 cm)","Purchase, Anonymous Gift, Cynthia Hazen Polsky Gift, Virginia G. LeCount Bequest, in memory of The LeCount Family, 2007 Benefit Fund, Louis V. Bell, Harris Brisbane Dick, Fletcher, and Rogers Funds and Joseph Pulitzer Bequest, and Gift of Dr. Mortimer D. Sackler, Theresa Sackler and Family,  2008
",Made in,Calcutta,,,India,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/456949,https://www.wikidata.org/wiki/Q29385274,,"Metropolitan Museum of Art, New York, NY",Bats,http://vocab.getty.edu/page/aat/300310335,https://www.wikidata.org/wiki/Q28425
12.130.1,False,True,True,463555,305,Medieval Art,1912,Relief,Baptism of Christ,German,,,,,16412,Artist,Workshop of,Veit Stoss,"German, Horb am Neckar ca. 1445–1533 Nuremberg", ,"Stoss, Veit",German,1440      ,1533      ,,http://vocab.getty.edu/page/ulan/500004752,,ca. 1480–1490,1480,1490,Limewood with paint and gilding,"48 × 40 × 3 in. (121.9 × 101.6 × 7.6 cm)
Mount (Back board with shelf and 2 clips): 52 × 44 × 3 5/8 in., 90 lb. (132.1 × 111.8 × 9.2 cm, 40.8 kg)","Rogers Fund, 1912",Made in,Nuremberg,,,Germany,,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/463555,https://www.wikidata.org/wiki/Q112181476,,"Metropolitan Museum of Art, New York, NY",Baptism of Christ|Saint John the Baptist|Angels|Christ,http://vocab.getty.edu/page/ia/901001066|http://vocab.getty.edu/page/ia/901001056|http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q217048|https://www.wikidata.org/wiki/Q40662|https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q642420
1981.276,True,True,True,39668,,Asian Art,1981,Handscroll,"北宋    郭熙    樹色平遠圖    卷  |Old Trees, Level Distance",China,Northern Song dynasty (960–1127),,,,1149,Artist, ,Guo Xi,"Chinese, ca. 1000–ca. 1090", ,Guo Xi,Chinese,1000      ,1090      ,,http://vocab.getty.edu/page/ulan/500125758,https://www.wikidata.org/wiki/Q536645,ca. 1080,1070,1090,Handscroll; ink and color on silk,"Image: 14 × 41 1/8 in. (35.6 × 104.4 cm)
Overall with mounting: 14 3/4 in. × 28 ft. 1/8 in. (37.5 × 853.8 cm)","Gift of John M. Crawford Jr., in honor of Douglas Dillon, 1981",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/39668,https://www.wikidata.org/wiki/Q29383298,,"Metropolitan Museum of Art, New York, NY",Trees|Landscapes,http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q191163
1975.268.48a–d,True,True,True,44858,,Asian Art,1975,Door panels,老梅図襖|Old Plum,Japan,Edo period (1615–1868),,,,1181,Artist, ,Kano Sansetsu,"Japanese, 1590–1651", ,Kano Sansetsu,Japanese,1590      ,1651      ,,http://vocab.getty.edu/page/ulan/500121022,https://www.wikidata.org/wiki/Q3192790,1646,1646,1646,"Four sliding-door panels (fusuma); ink, color, gold, and gold leaf on paper 
","Overall (of all four panels): 68 3/4 x 191 1/8 in. (174.6 x 485.5 cm)
Overall (a): 68 3/8 x 47 5/8 in. (173.7 x 121 cm)
Overall (b): 68 3/8 x 48 3/4 in. (173.7 x 123.8 cm)
Overall (c): 68 1/2 x 47 3/4 in. (174 x 121.3 cm)
Overall (d): 68 1/2 x 47 3/4 in. (174 x 121.3 cm)
","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/44858,https://www.wikidata.org/wiki/Q29383336,,"Metropolitan Museum of Art, New York, NY",Flowers|Trees,http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q10884
1986.365.3,True,True,True,207667,531,European Sculpture and Decorative Arts,1986,Desk with folding top,Small desk with folding top (bureau brisé),"French, Paris",,,,,3339516167,Maker|Designer,Marquetry by|Designed and possibly engraved by,Alexandre-Jean Oppenordt|Jean Berain,"Dutch, 1639–1715, active France|French, Saint-Mihiel 1640–1711 Paris", |(1638/9-1711),"Oppenordt Alexandre-Jean|Berain, Jean",Dutch|French,1639      |1640      ,1715      |1711      ,|,http://vocab.getty.edu/page/ulan/500055833|http://vocab.getty.edu/page/ulan/500015026,https://www.wikidata.org/wiki/Q2833357|https://www.wikidata.org/wiki/Q1373528,ca. 1685,1680,1690,"Oak, pine, walnut veneered with ebony, rosewood, and marquetry of tortoiseshell and engraved brass; gilt bronze and steel",30 5/16 x 41 3/4 x 23 3/8 in. (77 x 106 x 59.4cm),"Gift of Mrs. Charles Wrightsman, 1986",,,,,,,,,,,,Woodwork-Furniture,,http://www.metmuseum.org/art/collection/search/207667,https://www.wikidata.org/wiki/Q29383659,,"Metropolitan Museum of Art, New York, NY",,,
67.239.6,False,False,True,309509,202,"Arts of Africa, Oceania, and the Americas",1967,Bottle,Stirrup-spout bottle with monkey and snake,Cupisnique,,,,,22311,Artist, ,Cupisnique artist(s), , ,Cupisnique artist(s), ,          ,          ,,,,1200–800 BCE,-1200,-800,Ceramic,H.11 1/2 x W.  6 3/8 x D. 7 3/8 in. (29.2 x 16.2 x 18.7 cm),"Harris Brisbane Dick and Fletcher Funds, 1967",,,,,Peru,North Coast,,,,,,Ceramics-Containers,,http://www.metmuseum.org/art/collection/search/309509,https://www.wikidata.org/wiki/Q116406811,,"Metropolitan Museum of Art, New York, NY",Monkeys,http://vocab.getty.edu/page/aat/300250028,https://www.wikidata.org/wiki/Q1367
1973.348,False,True,True,471989,016,The Cloisters,1973,Altarpiece,The Death of the Virgin (The Dormition),German,,,,,14246,Artist,Workshop of,Tilman Heysacker,"German, active Cologne 1487–died 1515", ,"Heysacker, Tilman",German,1415      ,1515      ,,,,late 15th century,1471,1499,Oak,63 x 73 3/4 x 17 1/4 in. (160 x 187.3 x 43.8 cm),"The Cloisters Collection, 1973",Made in,Cologne,,,Germany,,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/471989,https://www.wikidata.org/wiki/Q20201180,,"Metropolitan Museum of Art, New York, NY",Virgin Mary|Sadness|Apostles|Saints|Beds|Death of the Virgin,http://vocab.getty.edu/page/ia/901000032|http://vocab.getty.edu/page/aat/300055166|http://vocab.getty.edu/page/aat/300343837|http://vocab.getty.edu/page/aat/300150555|http://vocab.getty.edu/page/aat/300038697|http://vocab.getty.edu/page/ia/901000556,https://www.wikidata.org/wiki/Q345|https://www.wikidata.org/wiki/Q169251|https://www.wikidata.org/wiki/Q43412|https://www.wikidata.org/wiki/Q43115|https://www.wikidata.org/wiki/Q42177|https://www.wikidata.org/wiki/Q1245512
2001.408,True,True,True,318764,,"Arts of Africa, Oceania, and the Americas",2001,Couple figure,Couple,Sakalava peoples,,,,,,,,,,,,,,,,,,17th–late 18th century,1575,1800,"Wood, pigment",H. 39 × W. 11 × D. 6 3/8 in. (99.1 × 27.9 × 16.2 cm),"Purchase, Lila Acheson Wallace, Daniel and Marian Malcolm, and James J. Ross Gifts, 2001",,,,,Madagascar,Menabe region,,,,,,Wood-Sculpture,,http://www.metmuseum.org/art/collection/search/318764,https://www.wikidata.org/wiki/Q29384395,,"Metropolitan Museum of Art, New York, NY",Couples|Men|Male Nudes|Women|Female Nudes,http://vocab.getty.edu/page/aat/300379217|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q219160|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q40446
33.165.1,True,True,True,197462,545,European Sculpture and Decorative Arts,1933,Coffeepot,Coffeepot,"French, Paris",,,,,3374,Maker, ,François Thomas Germain,"French, Paris 1726–1791 Paris, master 1748", ,"Germain, François Thomas",French,1726      ,1791      ,,http://vocab.getty.edu/page/ulan/500019020,https://www.wikidata.org/wiki/Q3083671,1757,1757,1757,Silver with ebony handle,Overall (with handle): 11 5/8 × 12 in. (29.5 × 30.5 cm),"Purchase, Joseph Pulitzer Bequest, 1933",,,,,,,,,,,,Metalwork-Silver,,http://www.metmuseum.org/art/collection/search/197462,https://www.wikidata.org/wiki/Q29383561,,"Metropolitan Museum of Art, New York, NY",,,
2015.300.299,True,False,True,50486,,Asian Art,2015,Hanging scroll,탄은 이정	 대나무   조선|灘隱 李霆	墨竹圖	朝鮮|Bamboo in the Wind,Korea,Joseon dynasty (1392–1910),,,,1185,Artist, ,Yi Jeong,"Korean, 1541–1626", ,Yi Jeong,Korean,1541      ,1626      ,,,,early 17th century,1600,1633,Hanging scroll; ink on silk with gold on colophon,"Image: 45 1/2 x 21 in. (115.6 x 53.3 cm)
Overall with mounting: 87 13/16 × 26 5/16 in. (223 × 66.8 cm)
Overall with knobs: 87 13/16 × 28 3/4 in. (223 × 73 cm)","Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/50486,https://www.wikidata.org/wiki/Q78821243,,"Metropolitan Museum of Art, New York, NY",Bamboo,http://vocab.getty.edu/page/aat/300311500,https://www.wikidata.org/wiki/Q670887
1973.264,False,True,True,309909,136,"Arts of Africa, Oceania, and the Americas",1973,Funerary post,Commemorative Post: Male (Ngya),Bongo,,,,,21914,Artist, ,Bongo artist, , ,Bongo artist, ,          ,          ,,,,late 19th century,1850,1897,Wood,H. 75 1/2 × W. (approx.)  9 1/2 × D. 9 1/4 in. (191.8 × 24.1 × 23.5 cm),"Purchase, Harris Brisbane Dick and Louis V. Bell Funds and Joseph Pulitzer Bequest, 1973",,,,,western South Sudan,Tonj,,,,,,Wood-Sculpture,,http://www.metmuseum.org/art/collection/search/309909,https://www.wikidata.org/wiki/Q116406827,,"Metropolitan Museum of Art, New York, NY",Male Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446
21.57,True,True,True,39887,,Asian Art,1921,Hanging scroll,작자미상 범천왕을 중심으로 한 신중도   조선|作者未詳 神衆圖   朝鮮|Brahma with Attendants and Musicians,Korea,Joseon dynasty (1392–1910),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,late 16th century,1567,1599,Hanging scroll; ink and color on hemp,"Image: 85 × 87 in. (215.9 × 221 cm)
Overall with mounting: 132 × 97 in. (335.3 × 246.4 cm)
Overall with knobs: 132 × 101 3/4 in. (335.3 × 258.4 cm)","Gift of Mrs. Edward S. Harkness, 1921",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/39887,https://www.wikidata.org/wiki/Q78868458,,"Metropolitan Museum of Art, New York, NY",Musical Instruments|Brahma|Musicians,http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/ia/901000856|http://vocab.getty.edu/page/aat/300025666,https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q11389|https://www.wikidata.org/wiki/Q639669
2015.300.298,True,False,True,74813,,Asian Art,2015,Hanging scroll,석가삼존도  조선|釋迦三尊圖  朝鮮|Shakyamuni triad,Korea,Joseon dynasty (1392–1910),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,1565,1565,1565,Hanging scroll; color and gold on silk,"Image: 23 13/16 x 12 5/8 in. (60.5 x 32 cm)
Overall with mounting: 60 x 21 1/8 in. (152.4 x 53.7 cm)","Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/74813,https://www.wikidata.org/wiki/Q78706762,,"Metropolitan Museum of Art, New York, NY",Bodhisattvas|Buddhism|Buddha|Shakyamuni,http://vocab.getty.edu/page/aat/300264360|http://vocab.getty.edu/page/aat/300073738|http://vocab.getty.edu/page/aat/300262950|http://vocab.getty.edu/page/ia/901000851,https://www.wikidata.org/wiki/Q178149|https://www.wikidata.org/wiki/Q748|https://www.wikidata.org/wiki/Q7055|https://www.wikidata.org/wiki/Q9441
1994.439,True,True,True,36457,,Asian Art,1994,Hanging scroll,작자미상 포도   조선|作者未詳 墨葡萄圖   朝鮮|Grapevine in the Wind,Korea,Joseon dynasty (1392–1910),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,16th century,1500,1599,Hanging scroll; ink on silk,"Image: 34 1/2 in. × 19 in. (87.6 × 48.3 cm)
Overall with mounting: 77 × 24 1/2 in. (195.6 × 62.2 cm)
Overall with knobs: 77 × 27 in. (195.6 × 68.6 cm)","Purchase, The Dillon Fund Gift and Friends of Asian Art Gifts, 1994",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36457,https://www.wikidata.org/wiki/Q78918837,,"Metropolitan Museum of Art, New York, NY",Grapes,http://vocab.getty.edu/page/aat/300379338,https://www.wikidata.org/wiki/Q10978
1994.207,True,True,True,36451,,Asian Art,1994,Folding book,"법화경변상도 고려|Illustrated manuscript of the Lotus Sutra (Miaofa lianhua jing), Volume 2",Korea,Goryeo dynasty (918–1392),,,,3750,Artist, ,Unidentified artist, ,(mid-14th century),Unidentified artist, ,          ,          ,,,,ca. 1340,1330,1350,Accordion-fold book; gold and silver on indigo-dyed mulberry paper,"Image: 9 x 4 1/2 in. (22.9 x 11.4 cm)
Overall: 13 x 4 1/2 x 7/8 in. (33 x 11.4 x 2.2 cm)","Purchase, Lila Acheson Wallace Gift, 1994",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36451,https://www.wikidata.org/wiki/Q78918917,,"Metropolitan Museum of Art, New York, NY",Bodhisattvas|Buddha,http://vocab.getty.edu/page/aat/300264360|http://vocab.getty.edu/page/aat/300262950,https://www.wikidata.org/wiki/Q178149|https://www.wikidata.org/wiki/Q7055
17.190.636,True,True,True,193606,,European Sculpture and Decorative Arts,1917,Celestial globe with clockwork,Celestial globe with clockwork,"Austrian, Vienna",,,,,3768,Maker, ,Gerhard Emmoser,"German, active 1556–84", ,"Emmoser, Gerhard",German,1484      ,1584      ,,http://vocab.getty.edu/page/ulan/500329974,https://www.wikidata.org/wiki/Q55454454,1579,1579,1579,"Partially gilded silver, gilded brass (case); brass, steel (movement)","wt. (without mechanism) confirmed: 10 3/4 × 8 × 7 1/2 in., 86.412oz. (27.3 × 20.3 × 19.1 cm, 2450g)
Diameter (globe): 5 1/2 in. (14 cm)
Clockwork mechanism only, wt. confirmed: 35.27oz. (1000g)","Gift of J. Pierpont Morgan, 1917",,,,,,,,,,,,Metalwork-Silver In Combination,,http://www.metmuseum.org/art/collection/search/193606,https://www.wikidata.org/wiki/Q29383537,,"Metropolitan Museum of Art, New York, NY",Pegasus|Astronomy|Globes,http://vocab.getty.edu/page/ia/901000756|http://vocab.getty.edu/page/aat/300054534|http://vocab.getty.edu/page/aat/300028089,https://www.wikidata.org/wiki/Q162797|https://www.wikidata.org/wiki/Q333|https://www.wikidata.org/wiki/Q133792
2010.24,True,True,True,236688,,European Sculpture and Decorative Arts,2009,Bust,A Hypocrite and a Slanderer,"Austrian, probably Pressburg (Bratislava)",,,,,16489,Maker, ,Franz Xaver Messerschmidt,"German, Wiesensteig 1736–1783 Pressburg", ,"Messerschmidt, Franz Xaver",German,1736      ,1783      ,,http://vocab.getty.edu/page/ulan/500067615,https://www.wikidata.org/wiki/Q701769,ca. 1770–83,1765,1788,Tin alloy,"Overall (wt. confirmed): 14 9/16 x 9 5/8 x 11 5/8 in., 25lb. (37 x 24.4 x 29.5 cm, 11.3399kg)","Purchase, European Sculpture and Decorative Arts Fund, and Lila Acheson Wallace, Mr. and Mrs. Mark Fisch, and Mr. and Mrs. Frank E. Richardson Gifts, 2010",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/236688,https://www.wikidata.org/wiki/Q29383703,,"Metropolitan Museum of Art, New York, NY",Heads|Men,http://vocab.getty.edu/page/aat/300375054|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q3409626|https://www.wikidata.org/wiki/Q8441
1975.1.231,True,False,True,459123,825,Robert Lehman Collection,1975,Painting,Madame Roulin and Her Baby,,,,,,16194,Artist, ,Vincent van Gogh,"Dutch, Zundert 1853–1890 Auvers-sur-Oise", ,"Gogh, Vincent van",Dutch,1853      ,1890      ,,http://vocab.getty.edu/page/ulan/500115588,https://www.wikidata.org/wiki/Q5582,1888,1888,1888,Oil on canvas,25 x 20 1/8 in.,"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/459123,https://www.wikidata.org/wiki/Q17024776,,"Metropolitan Museum of Art, New York, NY",Infants|Portraits|Mothers|Women,http://vocab.getty.edu/page/aat/300189561|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025932|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q998|https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q7560|https://www.wikidata.org/wiki/Q467
53.21,False,False,True,471455,016,The Cloisters,1953,Triptych,The Burg Weiler Altar Triptych (Altarpiece with the Virgin and Child and Saints),German,,,,,16542,Artist, ,Master of the Burg Weiler Altarpiece,"German, Middle Rhineland, ca. 1470", ,Master of the Burg Weiler Altarpiece,German,1465      ,1475      ,,http://vocab.getty.edu/page/ulan/500050914,https://www.wikidata.org/wiki/Q22810726,ca. 1470,1470,1470,"Oil on wood, gold ground",central panel: 68 1/2 x 60 in. (174 x 152.4 cm); each wing; 68 1/2 x 26 in. (174 x 66 cm),"The Cloisters Collection, 1953",Made in,Baden-Württemberg (Nordwürttemberg),,Middle Rhineland,Germany,,,,,,,Paintings-Panels,,http://www.metmuseum.org/art/collection/search/471455,https://www.wikidata.org/wiki/Q20200942,,"Metropolitan Museum of Art, New York, NY",Women|Angels|Madonna and Child|Saints|Men,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000052|http://vocab.getty.edu/page/aat/300150555|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q9309699|https://www.wikidata.org/wiki/Q43115|https://www.wikidata.org/wiki/Q8441
2019.197,False,False,True,823979,017,The Cloisters,2019,Manuscript,Book of Flower Studies,French,,,,,20798,Artist, ,Master of Claude de France, , ,"Claude de France, Master of", ,          ,          ,,,,ca. 1510–1515,1505,1525,"Opaque water color, organic glazes, gold and silver paint, iron and carbon-based ink and charcoal on parchment","Manuscript: 6 7/16 × 4 1/4 × 1 1/4 in. (16.4 × 10.8 × 3.2 cm)
Folio: 6 1/16 × 4 in. (15.4 × 10.2 cm)","Purchase, The Cloisters Collection, Lila Acheson Wallace Gift, and Rogers Fund, 2019",Made in,Tours,,,France,,,,,,,Manuscripts and Illuminations,,http://www.metmuseum.org/art/collection/search/823979,https://www.wikidata.org/wiki/Q116445345,,"Metropolitan Museum of Art, New York, NY",Fruit|Insects|Butterflies|Dragonflies|Flowers,http://vocab.getty.edu/page/aat/300011868|http://vocab.getty.edu/page/aat/300310470|http://vocab.getty.edu/page/aat/300417320|http://vocab.getty.edu/page/aat/300310476|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q1364|https://www.wikidata.org/wiki/Q1390|https://www.wikidata.org/wiki/Q11946202|https://www.wikidata.org/wiki/Q80066|https://www.wikidata.org/wiki/Q506
1977.1.11,True,False,True,206587,533,European Sculpture and Decorative Arts,1977,Rosewater ewer,Rosewater ewer,"German, Augsburg",,,,,16198,Maker,Possibly by,Johann Erhard Heiglen,"German, before 1687–1757", ,"Heiglen, Johann Erhard",German,1687      ,1757      ,,http://vocab.getty.edu/page/ulan/500334761,,ca. 1730,1725,1735,Silver gilt,Height: 13 3/8 in. (34 cm),"Gift of Mr. and Mrs. Charles Wrightsman, 1977",,,,,,,,,,,,Metalwork-Silver,,http://www.metmuseum.org/art/collection/search/206587,https://www.wikidata.org/wiki/Q29383643,,"Metropolitan Museum of Art, New York, NY",,,
1993.132,True,True,True,436535,199,European Paintings,1993,Painting,Wheat Field with Cypresses,,,,,,16194,Artist, ,Vincent van Gogh,"Dutch, Zundert 1853–1890 Auvers-sur-Oise", ,"Gogh, Vincent van",Dutch,1853      ,1890      ,,http://vocab.getty.edu/page/ulan/500115588,https://www.wikidata.org/wiki/Q5582,June 1889,1889,1889,Oil on canvas,28 7/8 × 36 3/4 in. (73.2 × 93.4 cm),"Purchase, The Annenberg Foundation Gift, 1993",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/436535,https://www.wikidata.org/wiki/Q18689458,,"Metropolitan Museum of Art, New York, NY",Landscapes|Cypresses|Summer,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300343641|http://vocab.getty.edu/page/aat/300133099,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q146911|https://www.wikidata.org/wiki/Q1313
24.142.1,False,False,True,466568,307,Medieval Art,1924,Book,Printed Book with Silva Nuptialis Bonis Referta Non Modicis,French,,,,,14062014067,Artist|Publisher, | ,Johannes Nevizanus|J. Kerver, | , | ,Nevizanus Johannes|Kerver J., |French,          |          ,          |          ,|,|,|,1521,1521,1521,"Printed on paper, brown calf leather binding (tooled)",Overall: 6 3/4 x 4 1/2 x 1 3/16 in. (17.2 x 11.5 x 3 cm),"Fletcher Fund, 1924",Made in,Paris,,,France,,,,,,,Leatherwork|Books and book bindings|Manuscripts and Illuminations,,http://www.metmuseum.org/art/collection/search/466568,https://www.wikidata.org/wiki/Q116243231,,"Metropolitan Museum of Art, New York, NY",Human Figures,http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q5937779
1999.399,True,True,False,503529,684,Musical Instruments,1999,Sitar,Sitar,Indian,,,,,15519,Maker, ,Murari Adhikari,"Indian, Calcutta 1934–2006 Calcutta", ,"Adhikari, Murari",Indian,1934      ,2006      ,,,,1997,1997,1997,"Teak, ebony, metal, bone, various materials",49 × 13 1/2 × 12 3/16 in. (124.5 × 34.3 × 31 cm),"Gift of Steven Landsberg, 1999",,Calcutta,,,India,,,,,,,Chordophone-Lute-plucked-fretted,,http://www.metmuseum.org/art/collection/search/503529,https://www.wikidata.org/wiki/Q116413174,,"Metropolitan Museum of Art, New York, NY",,,
26.117,True,True,True,44918,,Asian Art,1926,Screen,波濤図屏風|Rough Waves,Japan,Edo period (1615–1868),,,,1175,Artist, ,Ogata Kōrin,"Japanese, 1658–1716", ,Kōrin,Japanese,1658      ,1716      ,,http://vocab.getty.edu/page/ulan/500034109,https://www.wikidata.org/wiki/Q952938,ca. 1704–9,1694,1719,"Two-panel folding screen; ink, color, and gold leaf on paper","Image: 57 11/16 × 65 1/8 in. (146.5 × 165.4 cm)
Overall: 59 1/4 × 66 1/2 in. (150.5 × 168.9 cm)","Fletcher Fund, 1926",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/44918,https://www.wikidata.org/wiki/Q29383342,,"Metropolitan Museum of Art, New York, NY",Waves,http://vocab.getty.edu/page/aat/300343616,https://www.wikidata.org/wiki/Q165848
1975.1.120A-B,True,True,True,459062,953,Robert Lehman Collection,1975,Triptych panels,Archangel Gabriel; The Virgin Annunciate,,,,,,16181,Artist, ,Gerard David,"Netherlandish, Oudewater ca. 1455–1523 Bruges", ,"David, Gerard",Netherlandish,1455      ,1523      ,,http://vocab.getty.edu/page/ulan/500025998,https://www.wikidata.org/wiki/Q333380,ca. 1510,1507,1513,Oil on oak panel,"Left wing: 34 1/2 x 11 5/8 in. (87.7 x 29.5 cm), painted surface 34 x 11 in. (86.4 x 27.9 cm); right wing: 34 1/2 x 11 3/4 in. (87.6 x 30 cm), painted surface 34 x 11 1/8 in. (86.4 x 28.3 cm)","Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/459062,https://www.wikidata.org/wiki/Q20183538,,"Metropolitan Museum of Art, New York, NY",Virgin Mary|Archangel Gabriel|Annunciation,http://vocab.getty.edu/page/ia/901000032|http://vocab.getty.edu/page/ia/901000493|http://vocab.getty.edu/page/aat/300412102,https://www.wikidata.org/wiki/Q345|https://www.wikidata.org/wiki/Q81989|https://www.wikidata.org/wiki/Q154326
17.190.1735,False,False,True,464128,305,Medieval Art,1917,Reliquary bust,Reliquary Bust of Saint Barbara,German,,,,,13883,Artist,Workshop of,Niclaus Gerhaert von Leyden,"North Netherlandish, active Strasbourg, ca. 1462–died 1473 Vienna", ,"Gerhaert von Leyden, Niclaus",North Netherlandish,1462      ,1473      ,,http://vocab.getty.edu/page/ulan/500100204,https://www.wikidata.org/wiki/Q33696,ca. 1465,1465,1465,Walnut with paint and gilding,Overall: 19 7/8 x 17 1/2 x 10 7/8 in. (50.5 x 44.5 x 27.6 cm),"Gift of J. Pierpont Morgan, 1917",Made in,Strasbourg,,Upper Rhineland,Germany,,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/464128,https://www.wikidata.org/wiki/Q116273963,,"Metropolitan Museum of Art, New York, NY",Sculpture|Women,http://vocab.getty.edu/page/aat/300047090|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q860861|https://www.wikidata.org/wiki/Q467
89.4.1473,True,False,True,502048,681,Musical Instruments,1889,Mi-gyaung,Mi-gyaung,Burmese,,,,,,,,,,,,,,,,,,late 19th century,1850,1900,"Wood, gold leaf",L: 54 in. (137.2 cm),"The Crosby Brown Collection of Musical Instruments, 1889",,,,,Myanmar (formerly Burma),,,,,,,Chordophone-Zither-plucked,,http://www.metmuseum.org/art/collection/search/502048,https://www.wikidata.org/wiki/Q116413014,,"Metropolitan Museum of Art, New York, NY",Crocodiles,http://vocab.getty.edu/page/aat/300250293,https://www.wikidata.org/wiki/Q2535664
